authors,title,journal,volume,issue,year,pages,link,pdfLink
"X.-Y. Yan, Y. A. Chang, F.-Y. Xie, S.-L. Chen, F. Zhang, and S. Daniel",Calculated Phase Diagrams of Aluminum Alloys from Binary Al-Cu to Multicomponent Commercial Alloy,J. Alloy Compounds,230,,2001,151-160,,
"X.Y. Yan, L. Ding, S.-L. Chen, F.-Y. Xie, M. Chu and Y. A. Chang",Predicting Microstructure and Microsegregation in Multicomponent Aluminum Alloys,"in Light Metals 2001, (Editor: J. L. Anjier) TMS, Warrendale, PA",,,2001,1091-1097,,
"J. Zhang, W. A. Oates, F. Zhang, S.-L. Chen, K.-C. Chou and Y, A. Chang",Cluster/Site Approximation of the Ordering Phase Diagram for Cd-Mg Alloys,Intermetallics,9,,2001,5-8,,
"W. A. Oates, F. Zhang, S.-L. Chen and Y. A. Chang",Some Problems Arising from two Sublattice Modeling of Ordered Phases,CALPHAD,23,,1999,181-188,,
"W. A. Oates, F. Zhang, S.-L. Chen and Y. A. Chang",An Improved Cluster/Site Approximation for the Entropy of Mixing in Multicomponent Solid Solutions,Phys. Rev. B,59,,1999,11221-11225,,
"T. Kraft, S.-L. Chen and Y. A. Chang",Prediction of Microsegregation in Castings using Calculated Phase diagrams,"in Proceedings of the Fifth Asian Foundry Congress, (Eds.: G. Sun, H.-Y Yuan, R.-B. Yao and X.-Y. Yan) Southeast University Press, Nanjing, P. R. China",,,1997,1,,
"Y. A. Chang, F.-Y. Shiau, S.-L. Chen and S. Mohney",Thermodynamic Considerations in the Rationalization of Solid-State Amorphization Between Metals and III_V Semiconductors,"in Thermodynamics of Alloy Formation (Eds: Y. A. Chang and F. Sommer), TMS, Warrendale, PA",,,1997,187-198,,
Y. A. Chang and S.-L. Chen,Thermodynamics of Metallic Solutions,"in Advanced Physical Chemistry in Process Metallurgy (Eds.: N. Sano, W-K Lu and P. V. Riboud), Academic Press Ltd., London, U. K.",,,1997,5-43,,
"F. Zhang, S. L. Chen, Y. A. Chang and U. R. Kattner",A Thermodynamic Description of the Ti-Al System,Intermetallics,5,,1997,471-482,,
"H. Liang, S.-L. Chen and Y. A. Chang",A Thermodynamic Description of the Al-Mg-Zn System,Metall. Mater. Trans.,28A,,1997,1725,,
"S.-L. Chen, Y. Zuo, H. Liang and Y. A. Chang",A Thermodynamic Description of Al-Mg-Cu,Metall. Mater. Trans.,28A,,1997,435-446,,
"F. Zhang, S.-L. Chen and Y. A. Chang",A Thermodynamic Description of the Ti-Al-V System,"in Proceedings of the International Conference on Modeling and simulation in Metallurgical Engineering and Materials Science, (Editors: Zongsen Yu, Zeqiang Xiao and Xishan Xie), Metallurgical Industry Press, Beijing, PRC",,,1996,191,,
"Y. A. Chang, S.-L. Chen, Y. Zuo, F. Zhang, S. L. Daniel, C.-H. Moon, H. Liang, F.-Y. Xie, W. Huang, Z.K. Liu and K.C. Chou",Phase Diagram Calculation: A Critical Tool For Alloy and Processing Design,"in Proceedings of the International Conference on Modeling and simulation in Metallurgical Engineering and Materials Science, (Editors: Zongsen Yu, Zeqiang Xiao and Xishan Xie), Metallurgical Industry Press, Beijing, PRC",,,1996,185,,
"L. M. Pike, C. R. Kao, S.-L. Chen and Y. A. Chang",On the Site Preferences of Ternary Additions to Triple Defect B2 Intermetallic Compounds,"in Design Fundamentals of High Temperature Composites, Intermetallics and Metal-Ceramic Systems (Ed: R. Y. Lin, Y. A. Chang, R. G. Reddy and C. T. Liu) The Mineral, Metals and Materials Society, Warrendale, PA",,,1996,171-185,,
"F. Zhang, S.-L. Chen, Y. A. Chang and U. R. Kattner",Thermodynamic Stability and Point Defects of *-TiAl and the Phase Relationships of Ti-Al,"in Gamma Titanium Aluminides (Eds.: Y.-W. Kim, R. Wagner and M. Yamaguchi) The Mineral, Metals and Materials Society, Warrendale, PA",,,1995,131-140,,
S.-L. Chen and Y. A. Chang,On the Calculation of Multi-Component Stability Diagrams,"in Applications of Thermodynamics in the Synthesis and Processing of Materials (Eds.: P. Nash and B. Sundman) The Minerals, Metals and Materials Society, Warrendale, PA",,,1995,37,,
"A. Bolcavage, C. R. Kao, S.-L. Chen and Y. A. Chang",Thermodynamic Calculation of Phase Stability Between Copper and Lead-Indium Solder,"in Applications of Thermodynamics in the Synthesis and Processing of Materials (Eds.: P. Nash and B. Sundman) The Minerals, Metals and Materials Society, Warrendale, PA",,,1995,171,,
"Shuang-Lin Chen, C. R. Kao and Y. A. Chang","A Generalized Quasi-Chemical Model For Ordered Multi-Component, Multi-Sublattice Intermetallic Compounds With Anti-Structure Defects",Intermetallics,3,,1995,233,,
"C. R. Kao, L. M. Pike, S.-L. Chen and Y. A. Chang",Site Preference of Substitutional Additions in Triple-Defect B2 Intermetallic Compounds,Intermetallics,2,,1994,235-247,,
"Shuang-Lin Chen, W. Oldfield, Y. A. Chang and M. K. Thomas",Modelling Solidification of Turbine Blades Using Theoretical Phase Relationships,Metall. Mater. Trans.,25A,7,1994,1525-1533,,
Shuang-Lin Chen and Y. A. Chang,The Shapes of the Phase Boundaries of Two Ideal Solution Phases in Ternary and Higher Order Systems,Metall. Mater. Trans.,25A,3,1994,656-658,,
"C. R. Kao, A. Bolcavage, Shuang-Lin Chen, Y. A. Chang and A. D. Romig, Jr.","Phase Equilibria of the Cu-In System, II: Thermodynamic Assessment and Calculation of Phase Diagram",J. Phase Equilibria,14,1,1993,22-30,,
"Shuang-Lin Chen, Kuo-Chih Chou and Y. A. Chang","On a New Strategy for Phase Diagram Calculation, 1. Basic Principles",CALPHAD,17,3,1993,237-250,,
"Shuang-Lin Chen, Kuo-Chih Chou and Y. A. Chang","On a New Strategy for Phase Diagram Calculation, 2. Binary Systems",CALPHAD,17,3,1993,287-302,,
Shuang-Lin Chen and Y. A. Chang,A Thermodynamic Analysis of the Al-Zn System and Phase Diagram Calculation,CALPHAD,17,2,1993,113-124,,
"Shuang-Lin Chen, Y. Zuo, C. R. Kao and Y. A. Chang",On the Optimization of Solution Model Parameter Values of Phases and the Calculation of Phase Diagrams,CALPHAD,17,1,1993,47-56,,
"Fan Zhang, Shuang-Lin Chen and Kuo-Chih Chou",A New Treatment for Calculating Activities from Phase Diagrams Involving Intermediate Compounds,CALPHAD,16,3,1992,269-276,,
"F.-Y. Shiau, Shuang-Lin Chen, M. Loomans and Y. A. Chang",Thermodynamic Analysis for the Solid-State Amorphization and Subsequent Crystallization of GaAs/Co,"in Phase Transformation Kinetics in Thin Films, M. Chen, M. O. Thompson, R. B. Schwarz and M. Libera, eds., MRS Symp. Proc., MRS, Pittsburgh, PA",230,,1992,39-45,,
"F.-Y. Shiau, Shuang-Lin Chen, M. Loomans and Y. A. Chang",Formation and Growth of an Amorphous Phase by Solid-State Reaction Between GaAs and Co Thin Films,J. Mater. Res.,6,7,1991,1532-1541,,
"Y. A. Chang, J. P. Neumann and Shuang-Lin Chen",Thermodynamic Stability of Ordered Intermetallic Compound Phases,"in Alloy Phase Stability and Design, G. M. Stocks, D. P. Pope and A. F. Giamei, eds., MRS Symp. Proc., MRS, Pittsburgh, PA",186,,1991,131-140,,
"Jian-Hong Hu, Shuang-Lin Chen, Wen-Juan Cai and Kuo-Chih Chou",Application of Geometric Solution Model to Predict the Surface Tension of Ternary System,J. Univ. of Sci. and Techn. Beijing (in Chinese),,,1990,,,
Kuo-Chih Chou and Shuang-Lin Chen,Calculating Activities from Phase Diagram Containing Equilibrium Between Solid and Liquid Solutions,CALPHAD,14,1,1990,41-48,,
Shuang-Lin Chen and Kuo-Chih Chou,The Relationship Among the Standard Free Energies of Formation of Nonadjacent Compounds for a Binary System,J. Univ. of Sci. and Techn. Beijing (in Chinese),11,4,1989,376-381,,
"Shuang-Lin Chen, Jian-Qi Cui, Ting-Kun Chen and Kuo-Chih Chou",Integration Model Predicting Ternary Thermodynamic Properties From Binary Ones,CALPHAD,13,3,1989,225-230,,
Shuang-Lin Chen and Kuo-Chih Chou,The Application of Rational Function to Predict Ternary Thermodynamic Properties,CALPHAD,13,1,1989,79-82,,
Shuang-Lin Chen and Kuo-Chih Chou,A General Representation of Geometrical Solution Model for Predicting Ternary Thermodynamic Properties,Rare Metals,8,4,1989,22-26,,
Shuang-Lin Chen and Kuo-Chih Chou,The Quasi-Parabolic Regulation of the Standard Free Energies of Formation of Binary Intermediate Compounds,Rare Metals,8,2,1989,1-4,,
Shuang-Lin Chen and Kuo-Chih Chou,The Progressive Increase Regulation of Oxygen Potential on a Binary System and Its Application,Acta Metallurgica Sinica (in Chinese),24,Suppl. I,1988,B55-57,,
Shuang-Lin Chen and Kuo-Chih Chou,A Progressive Increase Regulation of Oxygen Potential in a Ternary System,Acta Metallurgica Sinica (in Chinese),24,Suppl. I,1988,B58-62,,
"Shuang-Lin Chen, Zhan-Zhong Hao, Fu-Shen Li and Kuo-Chih Chou",Determination of the Standard Free Energy of Formation of LaCrO3 at 1273K,J. Chinese Rare Earth Society (in Chinese),24,Suppl. I,1987,19-24,,
Kuo-Chih Chou and Shuang-Lin Chen,Electrochemical Determination of Thermodynamic Properties of Intermediate Compound in Mo-O System,Solid State Ionic,18 & 19,Suppl. I,1986,907-911,,
